ID,TIME,AMT,DV,MDV,CMT,DOSE,IVPO,SEX,GROUP,DAY,TAD,STUDY,ORIID
1,0,5,.,1,2,5,1,1,1,1,0,1,M01
1,0.083,,2991,0,2,5,1,1,1,1,0.083,1,M01
1,0.25,,1597,0,2,5,1,1,1,1,0.25,1,M01
1,0.5,,816,0,2,5,1,1,1,1,0.5,1,M01
1,1,,364,0,2,5,1,1,1,1,1,1,M01
1,2,,121,0,2,5,1,1,1,1,2,1,M01
1,4,,94.9,0,2,5,1,1,1,1,4,1,M01
1,6,,72.1,0,2,5,1,1,1,1,6,1,M01
1,8,,49.9,0,2,5,1,1,1,1,8,1,M01
1,12,,30,0,2,5,1,1,1,1,12,1,M01
1,24,,6.24,0,2,5,1,1,1,1,24,1,M01
2,0,5,.,1,2,5,1,1,1,1,0,1,M02
2,0.083,,3512,0,2,5,1,1,1,1,0.083,1,M02
2,0.25,,1799,0,2,5,1,1,1,1,0.25,1,M02
2,0.5,,1098,0,2,5,1,1,1,1,0.5,1,M02
2,1,,452,0,2,5,1,1,1,1,1,1,M02
2,2,,158,0,2,5,1,1,1,1,2,1,M02
2,4,,134,0,2,5,1,1,1,1,4,1,M02
2,6,,110,0,2,5,1,1,1,1,6,1,M02
2,8,,81.2,0,2,5,1,1,1,1,8,1,M02
2,12,,68.1,0,2,5,1,1,1,1,12,1,M02
2,24,,6.26,0,2,5,1,1,1,1,24,1,M02
3,0,5,.,1,2,5,1,1,1,1,0,1,M03
3,0.083,,3409,0,2,5,1,1,1,1,0.083,1,M03
3,0.25,,2023,0,2,5,1,1,1,1,0.25,1,M03
3,0.5,,908,0,2,5,1,1,1,1,0.5,1,M03
3,1,,366,0,2,5,1,1,1,1,1,1,M03
3,2,,121,0,2,5,1,1,1,1,2,1,M03
3,4,,81,0,2,5,1,1,1,1,4,1,M03
3,6,,55.6,0,2,5,1,1,1,1,6,1,M03
3,8,,47.4,0,2,5,1,1,1,1,8,1,M03
3,12,,35,0,2,5,1,1,1,1,12,1,M03
3,24,,2.66,0,2,5,1,1,1,1,24,1,M03
4,0,10,.,1,1,10,2,1,2,1,0,1,M04
4,0,,0,0,2,10,2,1,2,1,0,1,M04
4,0.25,,104,0,2,10,2,1,2,1,0.25,1,M04
4,0.5,,246,0,2,10,2,1,2,1,0.5,1,M04
4,1,,1250,0,2,10,2,1,2,1,1,1,M04
4,2,,310,0,2,10,2,1,2,1,2,1,M04
4,4,,155,0,2,10,2,1,2,1,4,1,M04
4,6,,87.9,0,2,10,2,1,2,1,6,1,M04
4,8,,79.5,0,2,10,2,1,2,1,8,1,M04
4,12,,40,0,2,10,2,1,2,1,12,1,M04
4,24,,2.02,0,2,10,2,1,2,1,24,1,M04
5,0,10,.,1,1,10,2,1,2,1,0,1,M05
5,0,,0,0,2,10,2,1,2,1,0,1,M05
5,0.25,,1885,0,2,10,2,1,2,1,0.25,1,M05
5,0.5,,2509,0,2,10,2,1,2,1,0.5,1,M05
5,1,,1209,0,2,10,2,1,2,1,1,1,M05
5,2,,263,0,2,10,2,1,2,1,2,1,M05
5,4,,144,0,2,10,2,1,2,1,4,1,M05
5,6,,119,0,2,10,2,1,2,1,6,1,M05
5,8,,75.6,0,2,10,2,1,2,1,8,1,M05
5,12,,33.2,0,2,10,2,1,2,1,12,1,M05
5,24,,3.1,0,2,10,2,1,2,1,24,1,M05
6,0,10,.,1,1,10,2,1,2,1,0,1,M06
6,0,,0,0,2,10,2,1,2,1,0,1,M06
6,0.25,,629,0,2,10,2,1,2,1,0.25,1,M06
6,0.5,,991,0,2,10,2,1,2,1,0.5,1,M06
6,1,,617,0,2,10,2,1,2,1,1,1,M06
6,2,,117,0,2,10,2,1,2,1,2,1,M06
6,4,,104,0,2,10,2,1,2,1,4,1,M06
6,6,,81.7,0,2,10,2,1,2,1,6,1,M06
6,8,,66.7,0,2,10,2,1,2,1,8,1,M06
6,12,,32.3,0,2,10,2,1,2,1,12,1,M06
6,24,,1.85,0,2,10,2,1,2,1,24,1,M06
7,0,30,.,1,1,30,2,0,3,1,0,2,F1
7,0,,0,0,2,30,2,0,3,1,0,2,F1
7,0.25,,4105,0,2,30,2,0,3,1,0.25,2,F1
7,0.5,,4230.3,0,2,30,2,0,3,1,0.5,2,F1
7,1,,2123.5,0,2,30,2,0,3,1,1,2,F1
7,2,,574.8,0,2,30,2,0,3,1,2,2,F1
7,4,,929.2,0,2,30,2,0,3,1,4,2,F1
7,8,,393,0,2,30,2,0,3,1,8,2,F1
7,24,,.,1,2,30,2,0,3,1,24,2,F1
8,0,30,.,1,1,30,2,0,3,1,0,2,F2
8,0,,0,0,2,30,2,0,3,1,0,2,F2
8,0.25,,7149,0,2,30,2,0,3,1,0.25,2,F2
8,0.5,,4267.1,0,2,30,2,0,3,1,0.5,2,F2
8,1,,2496.2,0,2,30,2,0,3,1,1,2,F2
8,2,,559.8,0,2,30,2,0,3,1,2,2,F2
8,4,,511.1,0,2,30,2,0,3,1,4,2,F2
8,8,,208.9,0,2,30,2,0,3,1,8,2,F2
8,24,,.,1,2,30,2,0,3,1,24,2,F2
9,0,30,.,1,1,30,2,0,3,1,0,2,F3
9,0,,0,0,2,30,2,0,3,1,0,2,F3
9,0.25,,1939,0,2,30,2,0,3,1,0.25,2,F3
9,0.5,,3413.1,0,2,30,2,0,3,1,0.5,2,F3
9,1,,3475.9,0,2,30,2,0,3,1,1,2,F3
9,2,,558.7,0,2,30,2,0,3,1,2,2,F3
9,4,,580.1,0,2,30,2,0,3,1,4,2,F3
9,8,,300.1,0,2,30,2,0,3,1,8,2,F3
9,24,,.,1,2,30,2,0,3,1,24,2,F3
10,0,100,.,1,1,100,2,0,4,1,0,2,F22
10,0,,0,0,2,100,2,0,4,1,0,2,F22
10,0.25,,8195.5,0,2,100,2,0,4,1,0.25,2,F22
10,0.5,,9014,0,2,100,2,0,4,1,0.5,2,F22
10,1,,1695.2,0,2,100,2,0,4,1,1,2,F22
10,2,,1451.8,0,2,100,2,0,4,1,2,2,F22
10,4,,12217.6,0,2,100,2,0,4,1,4,2,F22
10,8,,3250.8,0,2,100,2,0,4,1,8,2,F22
10,24,,112.7,0,2,100,2,0,4,1,24,2,F22
11,0,100,.,1,1,100,2,0,4,1,0,2,F23
11,0,,0,0,2,100,2,0,4,1,0,2,F23
11,0.25,,14153.2,0,2,100,2,0,4,1,0.25,2,F23
11,0.5,,5501,0,2,100,2,0,4,1,0.5,2,F23
11,1,,2553.1,0,2,100,2,0,4,1,1,2,F23
11,2,,807.9,0,2,100,2,0,4,1,2,2,F23
11,4,,951.9,0,2,100,2,0,4,1,4,2,F23
11,8,,1220.3,0,2,100,2,0,4,1,8,2,F23
11,24,,86.9,0,2,100,2,0,4,1,24,2,F23
12,0,100,.,1,1,100,2,0,4,1,0,2,F24
12,0,,0,0,2,100,2,0,4,1,0,2,F24
12,0.25,,6293.2,0,2,100,2,0,4,1,0.25,2,F24
12,0.5,,1975.2,0,2,100,2,0,4,1,0.5,2,F24
12,1,,3360.2,0,2,100,2,0,4,1,1,2,F24
12,2,,3406.3,0,2,100,2,0,4,1,2,2,F24
12,4,,1616.8,0,2,100,2,0,4,1,4,2,F24
12,8,,1191.8,0,2,100,2,0,4,1,8,2,F24
12,24,,67.6,0,2,100,2,0,4,1,24,2,F24
